file,class,source_url,source_page,license,author,acquired_at,sha256,group_id,review_status,notes
data/raw/limpo/commons-2cfaa76e8e6671f4.jpg,limpo,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0f/A_cold_glass_of_water_-_GE_Refrigerator_-_August_7%2C_2007.jpg/960px-A_cold_glass_of_water_-_GE_Refrigerator_-_August_7%2C_2007.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,"https://commons.wikimedia.org/wiki/File:A_cold_glass_of_water_-_GE_Refrigerator_-_August_7,_2007.jpg",CC BY-SA 2.0,Dave Matos,2026-09-24T20:29:07.459403+00:00,2cfaa76e8e6671f4f0409e1d070e3fa0d231a4e2b083031c675715ea216f4767,commons-162912038,approved,Copo com água transparente em dispensador; conteúdo e rótulo revisados.
data/raw/limpo/commons-44d4bbffd201666a.jpg,limpo,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/11/Glass-of-water.jpg/960px-Glass-of-water.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Glass-of-water.jpg,Public domain,Derek Jensen (Tysto),2026-09-24T20:29:07.459403+00:00,44d4bbffd201666a17cbc8a526953b08866cdbadd915f1d6d3a1b66756dd89f4,commons-454125,approved,Copo isolado com água visualmente clara; conteúdo e rótulo revisados.
data/raw/limpo/commons-47f2889f7d97eda9.jpg,limpo,https://upload.wikimedia.org/wikipedia/commons/a/a9/Glass_of_water%2C_detail.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,"https://commons.wikimedia.org/wiki/File:Glass_of_water,_detail.jpg",CC BY-SA 4.0,Mia Gaitanidis,2026-09-24T20:29:07.459403+00:00,47f2889f7d97eda986373165d0780c53091f4118d96a0a2cb1c18a8fef82a6a6,commons-87827468,approved,Detalhe superior de copo com água visualmente clara; revisado.
data/raw/limpo/commons-73b1743f7e7f14ba.jpg,limpo,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/50/Glass_of_water_on_vintage_sheet.jpg/960px-Glass_of_water_on_vintage_sheet.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Glass_of_water_on_vintage_sheet.jpg,CC BY-SA 4.0,Zmrob25,2026-09-24T20:29:07.459403+00:00,73b1743f7e7f14bac9bc82a0e9e276cee99984428c9fbfacdd1e6fd1127b05da,commons-89641812,approved,Copo em ambiente interno com água visualmente clara; revisado.
data/raw/limpo/commons-f6efacd6b9266f7e.jpg,limpo,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/01/Glass_of_water_ouside.jpg/960px-Glass_of_water_ouside.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Glass_of_water_ouside.jpg,CC0,Kurt Kaiser,2026-09-24T20:29:07.459403+00:00,f6efacd6b9266f7ed7f8301ccc17ea5a31b5aa850c94bf5c3c18121f43e2e5ef,commons-105399729,rejected,Rejeitada como near-duplicate da imagem commons-b1aeb848b1e93126.
data/raw/limpo/commons-b1aeb848b1e93126.jpg,limpo,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/55/Glass_of_water_ouside_2.jpg/960px-Glass_of_water_ouside_2.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Glass_of_water_ouside_2.jpg,CC0,Kurt Kaiser,2026-09-24T20:29:07.459403+00:00,b1aeb848b1e9312660a43e0f094d478fe140f0cf30984f7c64aabc4f535dd6cb,commons-105399732,approved,Copo ao ar livre com água visualmente clara; revisado.
data/raw/limpo/commons-5068547b1b2abacd.jpg,limpo,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/23/Clear_glass_with_water_dews.jpg/960px-Clear_glass_with_water_dews.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Clear_glass_with_water_dews.jpg,CC BY 4.0,Juairiaa,2026-09-24T20:29:07.459403+00:00,5068547b1b2abacdff70f698527cff40face9c49ee5fd9c822ee3cce92d9cd94,commons-176900002,rejected,"Rejeitada: mostra vidro/janela molhada, não um copo de água."
data/raw/limpo/commons-ef5aded3626e303e.jpg,limpo,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e5/Fasting_4-Fasting-a-glass-of-water-on-an-empty-plate.jpg/960px-Fasting_4-Fasting-a-glass-of-water-on-an-empty-plate.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Fasting_4-Fasting-a-glass-of-water-on-an-empty-plate.jpg,CC BY-SA 3.0,Dr Jean Fortunet,2026-09-24T20:29:07.459403+00:00,ef5aded3626e303ebc42a15382e29ca2da46fb2718a211d289c4743befd42405,commons-19045643,approved,Copo em mesa externa com água visualmente clara; revisado.
data/raw/limpo/commons-9ff73eb407e42bc3.jpg,limpo,https://upload.wikimedia.org/wikipedia/commons/0/02/Water_pouring_from_a_faucet_into_a_clear_glass_cup._%2815054813052%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,https://commons.wikimedia.org/wiki/File:Water_pouring_from_a_faucet_into_a_clear_glass_cup._(15054813052).jpg,Public domain,USEPA Environmental-Protection-Agency,2026-09-24T20:29:07.459403+00:00,9ff73eb407e42bc3cf850fa6cf4660ca92855c25dc11678a0d172a7963501185,commons-51969746,approved,Torneira enchendo copo com água visualmente clara; revisado.
data/raw/limpo/commons-383b98837cc5156b.jpg,limpo,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/93/Water_splashing_out_of_a_full_clear%2C_glass_cup._%2815055172195%29.jpg/960px-Water_splashing_out_of_a_full_clear%2C_glass_cup._%2815055172195%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,"https://commons.wikimedia.org/wiki/File:Water_splashing_out_of_a_full_clear,_glass_cup._(15055172195).jpg",Public domain,USEPA Environmental-Protection-Agency,2026-09-24T20:29:07.459403+00:00,383b98837cc5156b3064c5acd72fa05056ba7a288ab9e03bd8d0b1ff71cf5804,commons-51969756,approved,Copo transparente com água visualmente clara; conteúdo e rótulo revisados.
